generation,individual_id,decoded_architecture,predicted_psnr,params
1,65,1 1 6 1 0 0 6 2 5 3 3 5 6 6 2 4 0 5 7 6 2 6 7 0 7 2 5 4,-30.187838115661798,272384
1,66,6 6 1 4 4 5 7 0 5 5 7 0 2 5 7 4 3 1 5 6 3 1 4 7 1 3 5 0,-31.230218440532386,613392
1,67,1 2 6 3 6 6 0 3 7 6 7 7 7 1 7 4 3 4 3 5 0 2 2 3 2 5 4 3,-30.922147574194476,518528
1,68,5 7 2 2 2 6 1 6 5 1 5 2 6 6 2 1 6 2 1 2 4 4 7 7 3 5 6 3,-31.13216855417119,562848
1,69,5 4 3 2 4 5 1 5 0 3 4 7 2 5 5 5 2 0 5 5 2 7 0 1 1 1 6 7,-30.20232505113235,426016
1,70,1 6 7 3 0 6 1 2 5 3 3 5 6 6 2 4 0 5 7 6 2 6 7 0 7 2 5 4,-30.764831383560537,470048
1,71,4 6 4 3 2 3 4 2 3 6 5 3 0 0 0 6 3 2 6 4 4 2 6 1 7 3 5 3,-28.988905001930316,120384
1,72,4 7 1 0 0 6 2 1 2 5 0 1 7 2 2 7 1 6 1 7 0 5 4 7 4 5 7 2,-29.316823765784665,164944
1,73,4 6 3 0 1 2 2 5 6 7 0 3 2 3 7 1 3 0 7 7 1 5 1 1 2 2 1 5,-29.61034848563829,166336
1,74,0 1 3 1 6 7 7 0 6 3 0 0 5 0 7 5 1 3 5 2 2 7 6 0 0 0 5 4,-30.006415940246388,182336
1,75,0 7 2 0 5 4 4 6 3 3 5 2 3 1 7 7 2 4 1 1 5 7 1 7 6 4 0 3,-30.020117344025895,209376
1,76,6 4 5 0 6 4 2 0 0 1 2 4 4 0 6 3 2 4 3 7 1 7 3 0 5 5 5 1,-30.174613395269592,362640
1,77,2 4 6 0 3 1 5 0 7 2 0 4 5 5 2 1 5 4 0 5 5 1 4 2 0 2 0 3,-31.14063398302434,757152
1,78,2 6 2 3 0 0 3 3 1 6 0 0 1 1 2 0 6 2 5 3 6 5 2 7 2 3 1 5,-31.189560624502604,982320
1,79,6 4 0 7 6 6 4 1 2 1 6 7 4 6 0 4 3 2 3 1 0 2 7 1 1 5 1 1,-31.130166774819937,636672
1,80,1 7 0 3 7 6 3 1 4 0 7 3 6 7 0 7 1 1 7 6 7 3 5 6 7 0 7 5,-30.7787908897706,563776
1,81,6 4 0 7 6 6 4 1 2 0 3 7 4 6 0 4 3 2 3 1 0 2 7 1 1 5 1 1,-31.075941432770833,579024
1,82,5 7 0 1 0 1 5 0 6 3 0 1 0 6 7 4 6 2 1 0 1 7 5 6 3 3 6 0,-30.257247064971853,518848
1,83,2 5 0 6 3 5 7 7 3 2 2 0 5 0 3 0 7 2 6 1 7 4 4 2 7 0 6 2,-30.670049859643818,536352
1,84,1 6 4 0 2 7 3 1 3 7 1 1 4 3 1 3 2 1 2 2 1 1 4 2 6 4 6 3,-30.215936638581976,512864
1,85,6 2 4 7 7 1 4 5 3 4 1 6 3 1 1 6 4 0 1 7 7 5 6 3 2 0 2 0,-31.0115529968541,945696
1,86,3 4 0 6 6 6 7 4 3 3 2 6 2 2 1 2 7 0 1 2 0 3 2 0 2 6 4 2,-30.87898801565666,920736
1,87,3 4 0 6 6 6 7 4 3 3 2 6 1 2 6 2 7 0 1 2 0 3 2 0 2 6 4 2,-31.063865277940625,1014880
1,88,2 6 2 3 0 0 3 3 3 4 1 0 1 1 2 0 6 2 5 3 6 5 3 7 2 3 1 5,-31.092968741320757,1032912
1,89,3 2 0 4 6 2 3 1 5 7 5 6 4 4 1 7 6 0 0 2 5 1 7 2 1 2 4 7,-30.77950604149843,900896
1,90,6 2 4 4 7 6 4 4 6 4 2 6 1 4 2 1 2 3 7 3 1 0 4 3 3 0 2 0,-30.740453203639554,684288
1,91,6 6 1 4 4 5 7 0 5 5 7 0 2 5 7 4 3 1 5 6 3 0 6 0 3 5 6 0,-30.73504461699942,602016
1,92,3 4 1 2 3 0 3 7 2 4 0 7 4 2 7 0 7 4 0 1 0 4 0 4 4 2 5 7,-30.73383241563305,597408
1,93,6 4 0 1 5 5 6 5 4 4 7 5 1 1 4 2 7 5 0 0 6 7 0 7 0 0 1 7,-30.697195819336468,596352
1,94,6 1 7 4 7 5 5 7 2 4 6 5 3 7 4 7 5 6 0 7 6 7 2 3 7 6 1 1,-30.77640271207082,818496
1,95,6 1 7 4 7 5 5 7 2 4 6 5 3 7 4 7 5 6 0 7 6 7 2 3 7 6 1 1,-30.77640271207082,818496
1,96,6 4 7 7 6 6 4 1 2 1 6 7 4 4 1 7 6 3 0 2 0 2 7 1 1 5 1 1,-30.607913193449928,537216
1,97,6 2 5 2 7 6 6 0 3 4 1 5 4 0 2 1 5 1 6 7 2 1 6 0 0 7 6 6,-30.15177015493615,461904
1,98,1 4 5 0 3 5 0 0 4 6 2 7 7 1 5 7 3 0 0 3 2 7 1 0 7 2 5 2,-29.99904644503403,391616
1,99,4 3 7 1 6 5 1 7 2 1 1 3 2 4 7 2 3 5 4 5 6 5 5 7 6 2 1 3,-29.92824877550674,194656
2,0,0 7 7 4 1 0 3 0 4 2 7 0 5 2 0 4 5 2 4 7 6 2 2 2 6 3 5 5,-31.244418405216916,42528
2,1,4 7 3 5 0 0 7 7 4 0 0 0 1 6 5 5 2 3 2 2 1 2 5 2 4 4 6 3,-32.30035152884982,70128
2,2,0 7 6 7 7 0 0 3 1 1 1 6 4 6 7 4 6 2 1 0 1 5 3 1 2 7 0 6,-31.805791727167165,50320
2,3,0 4 7 5 5 1 1 4 3 7 7 7 1 3 6 0 3 2 0 3 5 1 5 5 4 4 3 4,-30.83497775994537,43712
2,4,1 3 5 2 6 0 3 0 1 3 6 2 3 6 2 5 7 2 1 7 3 7 1 5 3 6 4 2,-31.933993005632892,267360
2,5,0 7 6 7 7 0 0 3 1 1 1 6 5 3 6 7 6 4 1 2 3 5 3 1 2 7 0 6,-31.63563444176587,78032
2,6,4 3 4 5 3 0 2 6 0 7 7 7 5 0 4 0 6 4 3 5 3 5 4 4 3 7 1 2,-31.08169043565755,61792
2,7,1 3 4 2 6 1 2 4 6 4 7 6 4 6 2 5 7 2 1 7 3 7 1 5 3 6 4 2,-31.668309204751974,128672
2,8,4 2 3 6 1 2 0 4 5 6 0 1 3 6 0 4 6 2 1 7 2 4 7 3 2 0 5 6,-31.0955681739756,77008
2,9,1 6 7 4 7 5 5 7 2 4 6 5 3 7 4 7 5 6 0 6 2 6 7 0 7 2 5 4,-31.706570812172668,232800
2,10,4 3 0 0 6 4 4 7 6 7 0 4 7 7 2 4 5 3 4 5 2 4 1 1 4 0 6 4,-30.718787016480103,54080
2,11,4 7 2 3 3 2 0 3 5 2 4 4 1 0 3 4 4 0 5 1 7 4 5 4 5 2 4 2,-28.892950556264047,45072
2,12,0 4 1 7 2 4 5 1 2 6 6 3 0 7 2 4 0 2 5 1 5 6 7 6 4 5 0 7,-30.76228795311595,60688
2,13,1 7 0 4 7 4 5 7 2 4 6 5 3 7 5 5 2 2 7 0 1 3 2 0 0 0 3 1,-31.72344637703969,282432
2,14,4 7 1 0 5 4 3 3 0 1 4 5 7 6 0 1 6 7 7 2 4 6 0 5 2 1 2 7,-31.38408944455931,93312
2,15,5 4 2 1 6 0 4 7 1 6 6 2 5 5 6 0 3 6 0 6 5 0 4 4 4 2 0 5,-31.43825887399564,153664
2,16,1 6 1 0 7 1 4 7 3 4 0 7 4 2 7 0 7 4 0 1 0 4 0 4 7 0 3 1,-31.530006454661784,219808
2,17,4 2 3 6 1 2 0 4 5 6 0 1 0 3 3 4 6 2 1 7 2 4 7 3 2 0 5 6,-30.82545513262982,82336
2,18,4 2 5 1 2 1 0 7 7 3 1 5 7 2 5 6 7 7 5 3 2 2 4 2 0 2 6 1,-30.127223919942708,58240
2,19,4 2 0 0 4 3 1 4 6 4 2 4 2 7 2 2 0 6 7 6 5 0 6 6 4 6 5 1,-28.771386591276123,45232
2,20,4 0 2 2 4 6 1 4 2 6 7 6 6 1 5 4 6 2 4 7 6 2 3 5 1 5 3 4,-30.57905620175014,65584
2,21,0 7 5 4 2 4 5 6 0 2 5 4 4 1 3 5 2 1 5 4 4 1 6 3 2 6 5 7,-30.75722015914251,82096
2,22,5 7 1 4 0 6 6 7 3 4 3 6 0 6 1 6 2 3 1 1 2 1 7 3 7 3 5 3,-31.644440057771018,323392
2,23,5 7 1 4 4 5 7 0 5 4 3 6 0 6 2 4 7 0 6 1 6 4 2 1 7 7 2 2,-31.085488507263648,133088
2,24,1 4 5 4 3 4 0 0 6 6 3 0 4 6 0 1 4 2 6 7 2 4 7 3 2 1 1 4,-31.059036214703013,101856
2,25,5 7 1 4 0 6 6 7 3 4 3 6 0 6 2 4 7 0 6 1 6 4 2 1 7 7 2 2,-31.436457663955046,195232
2,26,4 2 4 2 2 4 5 1 0 1 4 4 4 1 0 5 1 6 3 5 5 1 4 4 3 5 1 6,-29.174998577520334,59344
2,27,4 3 4 5 3 0 2 6 0 7 7 7 5 0 4 7 6 4 3 5 3 5 4 4 3 7 1 2,-30.072596988496052,62608
2,28,4 7 2 3 3 2 0 3 5 2 4 4 1 0 2 4 5 3 4 5 2 4 1 1 4 0 4 3,-30.185310568956613,67520
2,29,4 5 3 1 6 2 5 6 2 5 4 1 1 2 0 4 4 7 7 7 0 2 0 0 4 1 4 4,-30.585565273181032,88400
2,30,0 7 5 4 2 4 5 4 2 2 5 5 4 1 3 5 7 0 1 2 0 2 6 3 2 6 5 7,-30.19889067713255,83264
2,31,1 7 6 1 5 2 2 0 3 1 4 1 5 3 5 0 7 5 5 2 5 2 5 0 2 2 4 3,-31.46202281430909,326816
2,32,6 3 7 7 5 6 4 1 2 1 6 7 4 4 7 4 6 3 0 2 0 2 7 1 1 5 1 1,-31.601407974202143,1028208
2,33,4 0 3 3 1 3 1 5 0 6 2 2 6 5 1 6 2 3 1 1 2 1 7 3 7 3 5 3,-31.034525959500407,163984
2,34,4 2 5 1 0 7 0 5 2 5 2 2 6 6 7 4 6 4 5 1 1 3 1 2 0 2 6 1,-30.87080654074504,108736
2,35,5 2 0 0 4 3 1 4 6 4 2 6 1 4 2 0 7 4 0 1 0 4 0 4 4 2 5 7,-30.862923857745493,104960
2,36,4 1 3 7 6 6 4 1 2 1 6 7 4 6 0 4 3 2 3 1 0 2 7 1 1 5 2 1,-30.99636488097019,139456
2,37,1 6 1 0 7 6 4 7 3 4 3 4 3 2 5 5 2 2 7 0 1 3 2 0 0 0 3 1,-31.101211394234785,277408
2,38,5 7 0 1 0 1 5 0 6 3 0 1 0 6 7 4 6 2 1 0 2 1 6 0 0 7 6 0,-31.310204957387988,288512
2,39,1 6 1 0 6 6 4 1 2 1 6 7 4 4 1 0 7 4 0 1 0 4 0 4 7 0 3 1,-31.080300913683498,247872
2,40,4 5 0 5 4 4 6 1 6 5 6 4 4 1 3 3 7 4 3 2 5 1 2 6 1 4 7 7,-30.280096989749346,90560
2,41,4 7 1 2 6 0 3 0 1 3 6 2 2 0 2 3 3 2 5 5 1 0 6 2 3 0 0 2,-30.51578427826692,102352
2,42,4 5 0 5 4 4 6 1 7 5 6 4 4 0 7 7 6 4 0 2 4 5 1 5 7 0 1 7,-30.36365443168239,100464
2,43,0 7 5 4 2 4 5 4 2 2 5 4 4 1 3 5 2 1 5 4 4 1 6 3 2 6 5 7,-29.85497307692501,83344
2,44,1 6 0 5 5 2 1 2 3 6 2 0 0 0 0 3 7 2 1 7 3 4 6 1 6 2 1 3,-31.437090971650907,337216
2,45,1 6 0 5 5 2 1 2 3 6 2 0 0 0 0 3 7 2 1 7 3 4 6 1 6 2 1 3,-31.437090971650907,337216
2,46,2 6 2 3 7 1 3 3 4 4 1 0 1 1 2 0 5 2 5 3 6 5 3 7 2 3 1 5,-31.50763146662792,1042512
2,47,0 1 3 1 6 7 4 7 6 0 0 0 5 0 7 5 1 3 5 2 2 7 6 0 0 0 5 4,-30.716390728137622,118992
2,48,4 6 3 0 1 2 2 5 3 2 2 0 5 0 3 0 7 0 7 7 1 5 1 1 2 2 1 5,-30.753543958943684,140528
2,49,5 6 1 6 7 5 3 6 4 5 1 6 4 5 2 4 0 5 7 6 2 6 7 0 7 3 5 4,-30.964133792112822,238080
2,50,4 4 1 0 1 6 2 1 2 5 6 7 4 6 0 4 3 2 3 1 0 2 7 1 1 5 7 2,-30.880800136514875,155840
2,51,1 5 0 6 3 6 7 7 3 2 2 0 5 0 3 0 0 2 2 2 4 4 4 2 7 0 6 2,-31.096948445346555,334656
2,52,4 2 3 6 0 2 0 2 3 4 1 0 1 1 2 4 6 2 6 7 2 4 7 3 2 0 5 6,-30.190021288603955,92096
2,53,0 2 0 0 3 6 1 4 5 0 3 6 7 5 7 4 6 4 5 1 1 2 1 3 4 4 6 6,-29.948480757230886,90848
2,54,4 3 2 2 4 6 1 3 2 2 0 6 6 1 5 4 0 0 3 7 3 5 7 5 1 5 3 4,-30.07732483691734,92048
2,55,0 5 7 5 5 1 1 4 3 4 1 6 3 1 1 6 4 0 1 7 7 6 5 5 4 4 3 4,-30.244830988737622,108608
2,56,6 7 4 4 0 6 6 7 3 4 3 6 0 6 2 4 7 0 6 1 6 4 2 3 5 3 5 4,-31.296407832313516,599184
2,57,1 7 2 0 1 5 5 1 0 1 4 4 4 1 0 6 1 1 3 5 3 5 7 7 1 6 7 5,-31.29340940690597,378144
2,58,4 7 1 2 6 0 3 0 1 3 6 2 2 1 2 3 3 2 5 5 3 0 6 2 3 0 0 2,-30.551336022022447,124112
2,59,5 0 0 1 4 7 1 1 0 0 7 6 1 4 4 1 6 7 1 0 4 3 2 0 2 6 5 0,-30.69307893440589,132224
2,60,0 7 6 0 5 4 4 6 3 3 5 2 3 1 7 7 2 2 1 0 1 5 3 1 2 7 0 6,-30.8450422553499,185088
2,61,5 5 0 6 7 7 3 5 2 0 7 2 6 5 1 6 2 3 1 6 2 1 7 3 5 1 6 6,-30.879893633938195,364640
2,62,6 1 7 4 7 5 5 7 2 4 6 5 3 7 4 7 5 6 0 7 7 2 2 0 3 6 1 1,-30.939758394163665,376128
2,63,0 7 1 0 4 5 7 0 5 5 7 2 3 1 7 7 2 4 1 1 4 7 1 7 6 4 0 3,-30.112361316876463,99408
2,64,0 1 5 6 3 6 6 0 1 0 7 2 6 5 1 6 2 3 1 6 2 2 1 3 4 4 6 4,-30.14061596355296,104880
2,65,4 5 0 5 4 4 6 1 6 2 6 4 4 1 3 3 7 4 3 2 5 1 2 6 1 4 7 7,-29.94411425760992,96976
2,66,0 1 1 0 0 7 0 5 2 5 2 2 1 6 7 4 5 4 5 1 1 2 1 3 4 4 6 4,-28.89359748611909,93408
2,67,3 5 5 6 4 6 6 0 1 0 7 2 6 5 1 6 2 3 1 6 2 1 7 3 4 0 3 2,-31.29505916538,1772320
2,68,1 7 2 0 1 5 5 1 0 6 3 0 4 1 2 1 3 1 3 5 3 5 7 7 1 6 7 5,-31.290151039053644,427232
2,69,2 2 0 6 3 5 7 7 3 2 2 0 5 0 3 0 7 2 6 7 7 4 4 5 7 0 6 2,-30.951889795863025,398736
2,70,0 7 0 1 0 1 5 0 6 3 0 1 0 6 7 4 6 2 1 0 2 7 1 7 6 4 0 3,-30.44653538639772,124848
2,71,4 3 6 3 1 0 7 0 1 2 4 4 2 0 1 2 7 0 2 6 7 6 0 3 6 5 7 4,-30.45702800800903,146464
2,72,0 5 2 7 5 4 5 6 4 6 3 0 4 6 0 5 3 0 2 5 3 1 0 7 3 3 4 4,-30.568911866579136,168768
2,73,0 5 2 7 5 4 5 6 4 2 2 0 3 7 7 5 3 0 2 5 7 5 0 7 3 3 4 4,-30.647160282752655,169040
2,74,1 4 5 4 3 4 0 3 6 6 3 0 4 6 0 1 5 1 6 7 5 3 6 2 3 6 1 4,-30.799563624189698,262368
2,75,4 2 3 6 1 2 0 2 2 4 2 6 2 0 2 4 6 2 6 7 2 4 7 3 2 0 5 6,-29.95508606026231,104656
2,76,0 3 1 7 3 6 0 1 3 7 1 1 4 3 1 3 2 1 2 2 1 2 1 3 4 4 6 6,-30.051647629531228,108352
2,77,4 2 5 1 2 1 0 7 7 3 1 5 7 3 7 5 1 7 5 3 2 2 7 2 0 2 6 1,-29.883513132498667,100832
2,78,4 1 2 2 7 5 5 0 3 7 2 0 3 0 1 3 7 5 7 0 4 0 6 6 5 6 5 1,-29.518321540583695,99872
2,79,5 5 0 5 7 7 4 5 2 0 0 1 2 6 4 6 1 7 1 2 7 6 2 0 6 1 6 6,-31.261625307145927,430112
2,80,5 5 0 5 7 7 4 5 2 0 7 6 2 6 4 6 1 7 1 2 7 6 2 0 6 1 6 6,-30.867819178011274,402368
2,81,4 0 2 2 4 6 1 3 2 6 7 6 6 1 5 4 0 1 4 0 3 7 3 5 1 5 3 4,-30.1526643250798,128912
2,82,4 3 6 3 1 0 7 0 1 2 4 4 2 0 1 2 6 7 1 0 4 2 0 3 6 5 7 4,-30.297163720045255,134720
2,83,4 7 1 2 6 0 3 0 1 3 6 2 2 0 2 3 3 2 5 5 1 0 6 2 2 5 3 1,-30.42151163512644,149616
2,84,0 7 2 0 5 4 4 6 3 3 7 4 3 1 7 7 2 4 1 1 5 7 1 7 6 4 0 3,-30.437178969266906,152608
2,85,4 7 4 7 7 1 4 0 1 3 5 2 2 0 2 3 3 2 5 5 1 0 6 2 2 5 3 1,-30.495018178290756,171856
2,86,1 6 6 1 3 0 6 2 5 3 3 5 6 6 2 4 0 5 7 6 2 6 7 0 7 2 5 4,-30.758589528672246,272384
2,87,0 3 1 7 3 6 1 4 5 0 3 6 7 5 7 4 5 4 5 1 1 2 1 3 4 4 6 6,-29.760898361666925,101584
2,88,4 7 1 2 6 0 1 1 5 7 3 4 3 4 4 6 0 1 6 0 1 7 5 1 2 5 3 1,-29.394397429563536,101296
2,89,6 6 1 4 4 5 7 0 5 5 7 0 2 5 7 4 3 1 5 6 3 1 4 7 1 3 5 0,-31.230218440532386,613392
2,90,1 5 3 6 1 2 0 4 5 6 0 1 0 3 3 4 6 2 1 7 2 4 7 3 2 0 4 3,-31.15932694357608,466240
2,91,4 1 7 2 5 6 7 2 7 7 0 0 1 3 1 1 6 5 4 1 4 0 2 4 0 6 6 0,-30.25260690669429,161424
2,92,0 5 2 7 5 4 5 6 4 2 2 0 3 7 7 5 3 0 2 5 3 1 0 7 3 3 4 4,-30.335737697816267,169040
2,93,4 1 7 2 5 6 7 2 7 7 0 0 1 3 0 1 6 5 4 1 4 0 2 4 0 6 6 0,-30.25224874246364,157328
2,94,4 1 7 2 5 6 7 2 7 7 0 0 1 3 1 1 6 5 4 2 5 1 2 6 6 4 7 7,-30.48852275039055,182640
2,95,1 4 0 4 0 0 0 4 1 3 1 4 0 1 2 4 2 7 6 7 3 3 0 5 1 2 2 7,-30.65326593346757,310464
2,96,1 7 2 0 1 4 2 1 0 1 3 0 4 1 2 6 3 1 3 5 3 5 7 7 1 6 7 5,-30.756873984023965,436480
2,97,5 7 0 1 0 1 5 0 6 3 0 1 0 1 2 4 2 7 6 7 3 3 3 5 1 2 2 0,-30.66767207713722,355104
2,98,3 2 0 4 6 2 3 1 5 7 5 5 4 4 0 7 1 4 0 2 5 1 7 2 1 2 4 7,-31.22234066485542,765728
2,99,5 7 2 2 2 6 1 6 5 1 5 2 6 6 2 1 6 2 1 2 4 4 7 7 3 5 6 3,-31.13216855417119,562848
3,0,4 7 3 5 0 0 7 7 4 0 0 0 1 6 5 5 2 3 2 2 1 2 5 2 4 4 6 3,-32.30035152884982,70128
3,1,0 7 6 7 7 0 0 3 1 1 1 6 4 6 7 4 6 2 1 0 1 5 3 1 2 7 0 6,-31.805791727167165,50320
3,2,0 2 0 1 6 0 3 0 0 3 6 2 3 6 2 5 7 2 1 7 3 7 1 5 3 7 6 6,-31.856435264042467,52768
3,3,4 7 3 5 0 0 7 7 4 0 0 0 1 6 5 5 1 3 2 2 1 2 5 2 4 4 6 3,-32.22758800310692,70128
3,4,4 3 0 0 6 4 4 7 6 7 0 4 6 7 0 3 4 3 4 5 2 4 1 1 4 0 6 4,-30.89841414951107,27632
3,5,4 3 4 5 3 0 2 6 0 7 7 7 4 6 2 5 7 2 1 7 3 7 0 5 3 6 4 2,-31.34642693702043,27648
3,6,1 3 5 2 6 0 3 0 1 3 6 2 3 6 2 5 7 2 1 7 3 7 1 5 3 6 4 2,-31.933993005632892,267360
3,7,0 7 6 7 7 0 0 3 1 1 1 6 5 3 6 7 6 4 1 2 3 5 3 1 2 7 0 6,-31.63563444176587,78032
3,8,1 3 4 2 6 1 2 4 6 4 7 6 4 6 2 5 7 2 1 7 3 7 1 5 3 6 4 2,-31.668309204751974,128672
3,9,1 6 7 4 7 5 5 7 2 4 6 5 3 7 4 7 5 6 0 6 2 6 7 0 7 2 5 4,-31.706570812172668,232800
3,10,1 7 0 4 7 4 5 7 2 7 7 2 6 7 5 5 2 2 7 0 1 3 2 0 0 0 3 1,-31.720970894072924,245440
3,11,1 6 1 0 5 4 4 6 3 6 2 3 0 0 0 3 7 2 1 7 3 4 6 1 6 2 1 3,-32.030903342024445,287808
3,12,0 7 7 4 1 0 3 0 4 2 7 0 5 2 0 4 5 2 4 7 6 2 2 2 6 3 5 5,-31.244418405216916,42528
3,13,4 5 0 5 4 7 2 6 0 7 7 7 5 0 4 7 6 4 3 5 5 1 2 6 1 4 7 7,-29.542792187986297,39120
3,14,1 7 0 4 7 4 5 7 2 4 6 5 3 7 5 5 2 2 7 0 1 3 2 0 0 0 3 1,-31.72344637703969,282432
3,15,1 3 4 2 6 1 2 5 0 0 4 4 4 1 0 6 7 2 1 7 3 7 1 5 3 6 4 2,-31.405044829123742,84128
3,16,5 4 2 1 6 0 4 7 1 6 6 2 5 5 6 0 3 6 0 6 5 0 4 4 4 2 0 5,-31.43825887399564,153664
3,17,1 6 1 0 7 1 4 7 3 4 0 7 4 2 7 0 7 4 0 1 0 4 0 4 7 0 3 1,-31.530006454661784,219808
3,18,1 7 0 4 7 4 5 6 3 6 2 0 0 0 0 3 7 2 1 7 1 3 2 3 3 0 3 1,-31.767653506021038,461600
3,19,0 4 7 5 5 1 1 4 3 7 7 7 1 3 6 0 3 2 0 3 5 1 5 5 4 4 3 4,-30.83497775994537,43712
3,20,0 4 7 5 5 1 1 4 2 6 0 1 0 3 6 0 3 2 0 3 5 1 5 5 4 4 3 4,-31.23060714976899,43808
3,21,5 7 1 4 0 6 6 7 3 4 3 6 0 6 1 6 2 3 1 1 2 1 7 3 7 3 5 3,-31.644440057771018,323392
3,22,4 7 1 0 5 4 3 3 0 1 4 5 7 6 0 1 6 7 7 2 4 6 0 5 2 1 2 7,-31.38408944455931,93312
3,23,5 7 1 4 0 6 6 7 3 4 3 6 0 6 2 4 7 0 6 1 6 4 2 1 7 7 2 2,-31.436457663955046,195232
3,24,6 3 7 7 5 6 4 1 2 0 6 2 3 6 2 4 6 3 0 2 0 2 7 1 1 5 1 1,-31.758901977265676,1141104
3,25,4 3 4 5 3 0 2 6 0 7 7 7 5 0 4 0 6 4 3 5 3 5 4 4 3 7 1 2,-31.08169043565755,61792
3,26,4 2 3 6 1 2 0 4 5 6 0 1 3 6 0 4 6 2 1 7 2 4 7 3 2 0 5 6,-31.0955681739756,77008
3,27,4 7 2 3 3 2 0 3 5 2 4 4 1 0 3 4 4 0 5 1 7 4 5 4 5 2 4 2,-28.892950556264047,45072
3,28,4 5 2 1 6 2 5 6 2 5 4 1 1 2 0 4 4 6 2 3 0 2 0 0 4 1 4 4,-30.901333095948303,60880
3,29,4 7 2 3 3 2 5 1 1 2 4 4 1 0 3 4 4 0 5 1 7 4 5 4 5 2 4 2,-28.927813700065617,51488
3,30,0 3 1 7 3 6 1 4 5 0 3 7 0 0 0 3 7 2 1 7 3 4 6 1 6 2 1 6,-30.871466726576674,52384
3,31,1 7 6 1 5 2 2 0 3 1 4 1 5 3 5 0 7 5 5 2 5 2 5 0 2 2 4 3,-31.46202281430909,326816
